Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Disease,Prescription 1,Prescription 2,Prescription 3
cough,sneezing,fatigue,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
headache,joint pain,rash,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,headache,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chills,joint pain,fever,shortness of breath,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,blurred vision,nausea,vomiting,joint pain,Migraine,N/A,N/A,N/A
sore throat,fever,body ache,chills,fatigue,Influenza,N/A,N/A,N/A
shortness of breath,fever,cough,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
dizziness,runny nose,sneezing,headache,congestion,Sinusitis,N/A,N/A,N/A
joint pain,sore throat,runny nose,congestion,headache,Sinusitis,N/A,N/A,N/A
headache,blurred vision,congestion,runny nose,sore throat,Sinusitis,N/A,N/A,N/A
headache,vomiting,blurred vision,nausea,,Migraine,N/A,N/A,N/A
cough,shortness of breath,vomiting,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,diarrhea,nausea,vomiting,,Gastroenteritis,N/A,N/A,N/A
chills,headache,fatigue,body ache,diarrhea,Influenza,N/A,N/A,N/A
shortness of breath,fever,cough,rash,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
itchy eyes,sneezing,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
cough,sore throat,runny nose,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,sneezing,congestion,loss of appetite,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sore throat,body ache,cough,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fatigue,blurred vision,headache,nausea,vomiting,Migraine,N/A,N/A,N/A
cough,sore throat,congestion,runny nose,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
rash,fever,joint pain,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,nausea,rash,fever,body ache,Malaria,Chloroquine,Artemether,Primaquine
headache,vomiting,blurred vision,nausea,,Migraine,N/A,N/A,N/A
cough,fever,chest pain,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,sneezing,cough,congestion,chills,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,headache,nausea,runny nose,blurred vision,Migraine,N/A,N/A,N/A
fever,congestion,shortness of breath,cough,sore throat,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
congestion,blurred vision,headache,runny nose,sore throat,Sinusitis,N/A,N/A,N/A
sore throat,sneezing,runny nose,congestion,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
shortness of breath,runny nose,chest pain,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,body ache,chills,fatigue,fever,Influenza,N/A,N/A,N/A
nausea,chills,vomiting,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
rash,joint pain,sore throat,headache,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
shortness of breath,fatigue,fever,loss of appetite,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,chills,fatigue,body ache,headache,Influenza,N/A,N/A,N/A
congestion,sneezing,itchy eyes,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fever,rash,loss of appetite,joint pain,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chills,rash,joint pain,headache,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,congestion,sneezing,runny nose,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
nausea,chills,joint pain,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
headache,rash,fever,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,headache,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sore throat,congestion,headache,runny nose,sneezing,Sinusitis,N/A,N/A,N/A
rash,headache,chills,fatigue,body ache,Influenza,N/A,N/A,N/A
nausea,vomiting,diarrhea,fever,,Gastroenteritis,N/A,N/A,N/A
rash,runny nose,sneezing,congestion,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
congestion,sneezing,runny nose,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,blurred vision,headache,nausea,,Migraine,N/A,N/A,N/A
congestion,runny nose,sneezing,cough,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
shortness of breath,sore throat,runny nose,sneezing,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
diarrhea,headache,joint pain,fever,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chest pain,shortness of breath,cough,fever,headache,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,headache,sore throat,congestion,,Sinusitis,N/A,N/A,N/A
fever,chills,vomiting,body ache,nausea,Malaria,Chloroquine,Artemether,Primaquine
congestion,cough,sneezing,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,cough,fever,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fatigue,body ache,headache,chills,fever,Influenza,N/A,N/A,N/A
chest pain,shortness of breath,loss of appetite,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,sneezing,sore throat,runny nose,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,fever,nausea,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
headache,fever,rash,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,chills,headache,blurred vision,nausea,Migraine,N/A,N/A,N/A
sore throat,congestion,runny nose,headache,,Sinusitis,N/A,N/A,N/A
nausea,headache,blurred vision,vomiting,,Migraine,N/A,N/A,N/A
runny nose,headache,congestion,sore throat,,Sinusitis,N/A,N/A,N/A
sneezing,runny nose,congestion,headache,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
chills,fatigue,body ache,fever,loss of appetite,Influenza,N/A,N/A,N/A
cough,loss of appetite,chills,fever,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
loss of appetite,cough,shortness of breath,fatigue,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,chills,body ache,fatigue,nausea,Malaria,Chloroquine,Artemether,Primaquine
vomiting,fever,chills,body ache,nausea,Malaria,Chloroquine,Artemether,Primaquine
diarrhea,loss of appetite,vomiting,fever,nausea,Gastroenteritis,N/A,N/A,N/A
runny nose,nausea,diarrhea,blurred vision,fever,Gastroenteritis,N/A,N/A,N/A
fever,loss of appetite,fatigue,shortness of breath,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,runny nose,body ache,vomiting,chills,Malaria,Chloroquine,Artemether,Primaquine
diarrhea,runny nose,itchy eyes,sneezing,vomiting,Allergic Rhinitis,N/A,N/A,N/A
fever,fatigue,blurred vision,body ache,chills,Influenza,N/A,N/A,N/A
body ache,fever,nausea,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
